"estimator","cohort","event_time","estimate","se","identified","is_pre"
"CS",2017,-5,-0.40650406504065,0.347106686360423,TRUE,TRUE
"CS",2017,-4,0.691056910569106,0.330349136002537,TRUE,TRUE
"CS",2017,-3,-0.357723577235772,0.332113088671788,TRUE,TRUE
"CS",2017,-2,0.048780487804878,0.0723220594392976,TRUE,TRUE
"CS",2017,-1,-0.691056910569106,0.302125893294519,TRUE,TRUE
"CS",2017,0,0.715447154471545,0.320647396321656,TRUE,FALSE
"CS",2017,1,0.739837398373984,0.318883443652405,TRUE,FALSE
"CS",2017,2,0.666666666666667,0.309377698712551,TRUE,FALSE
"CS",2017,3,0.764227642276423,0.329467159667911,TRUE,FALSE
"CS",2018,-17,-1.4689329497044e-18,0.0723220594392977,TRUE,TRUE
"CS",2018,-16,0,0.0723220594392977,TRUE,TRUE
"CS",2018,-15,-0.186991869918699,0.325057277994784,TRUE,TRUE
"CS",2018,-14,0.0406504065040651,0.33387704134104,TRUE,TRUE
"CS",2018,-13,-0.138211382113821,0.336522970344916,TRUE,TRUE
"CS",2018,-12,0.357723577235772,0.299479964290642,TRUE,TRUE
"CS",2018,-11,-0.024390243902439,0.0405709113927767,TRUE,TRUE
"CS",2018,-10,-0.0731707317073171,0.810242259409367,TRUE,TRUE
"CS",2018,-9,0.260162601626016,0.656288390331947,TRUE,TRUE
"CS",2018,-8,0,0.0723220594392977,TRUE,TRUE
"CS",2018,-7,0.048780487804878,0.0758499647778,TRUE,TRUE
"CS",2018,-6,-0.739837398373984,0.332113088671788,TRUE,TRUE
"CS",2018,-5,0.357723577235772,0.328585183333286,TRUE,TRUE
"CS",2018,-4,-0.024390243902439,0.106719136489695,TRUE,TRUE
"CS",2018,-3,0.0487804878048781,0.495964692171119,TRUE,TRUE
"CS",2018,-2,-0.024390243902439,0.0440988167312791,TRUE,TRUE
"CS",2018,-1,-0.284552845528455,0.331231112337163,TRUE,TRUE
"CS",2018,0,0.024390243902439,0.104073207485819,TRUE,FALSE
"CS",2018,1,0.284552845528455,0.325939254329409,TRUE,FALSE
"CS",2018,2,0.382113821138211,0.336522970344916,TRUE,FALSE
"CS",2019,-18,-1.46451590113832e-18,0.0723220594392977,TRUE,TRUE
"CS",2019,-17,0,0.0723220594392977,TRUE,TRUE
"CS",2019,-16,0.146341463414634,0.0564464854160372,TRUE,TRUE
"CS",2019,-15,-0.292682926829268,0.0749679884431744,TRUE,TRUE
"CS",2019,-14,0.195121951219512,0.0784958937816767,TRUE,TRUE
"CS",2019,-13,0.024390243902439,0.0458627694005303,TRUE,TRUE
"CS",2019,-12,-0.024390243902439,0.0405709113927767,TRUE,TRUE
"CS",2019,-11,0.926829268292683,0.0599743907545396,TRUE,TRUE
"CS",2019,-10,-1.07317073170732,0.0635022960930419,TRUE,TRUE
"CS",2019,-9,0,0.0723220594392977,TRUE,TRUE
"CS",2019,-8,1.04878048780488,0.0758499647778,TRUE,TRUE
"CS",2019,-7,-0.0731707317073171,0.0740860121085489,TRUE,TRUE
"CS",2019,-6,0.024390243902439,0.104073207485819,TRUE,TRUE
"CS",2019,-5,-1.02439024390244,0.106719136489695,TRUE,TRUE
"CS",2019,-4,1.04878048780488,0.0723220594392976,TRUE,TRUE
"CS",2019,-3,-0.024390243902439,0.0440988167312791,TRUE,TRUE
"CS",2019,-2,-0.951219512195122,0.0829057754548047,TRUE,TRUE
"CS",2019,-1,0.024390243902439,0.104073207485819,TRUE,TRUE
"CS",2019,0,-0.0731707317073171,0.0978993731434395,TRUE,FALSE
"CS",2019,1,0.024390243902439,0.101427278481942,TRUE,FALSE
"CS",2020,-19,-1.46451590113832e-18,0.0723220594392977,TRUE,TRUE
"CS",2020,-18,0,0.0723220594392977,TRUE,TRUE
"CS",2020,-17,0.146341463414634,0.0564464854160372,TRUE,TRUE
"CS",2020,-16,-0.292682926829268,0.0749679884431744,TRUE,TRUE
"CS",2020,-15,0.195121951219512,0.0784958937816767,TRUE,TRUE
"CS",2020,-14,0.024390243902439,0.0458627694005303,TRUE,TRUE
"CS",2020,-13,-0.024390243902439,0.0405709113927767,TRUE,TRUE
"CS",2020,-12,-0.0731707317073171,0.0599743907545396,TRUE,TRUE
"CS",2020,-11,-0.0731707317073171,0.0635022960930419,TRUE,TRUE
"CS",2020,-10,0,0.0723220594392977,TRUE,TRUE
"CS",2020,-9,0.048780487804878,0.0758499647778,TRUE,TRUE
"CS",2020,-8,-0.0731707317073171,0.0740860121085489,TRUE,TRUE
"CS",2020,-7,0.024390243902439,0.104073207485819,TRUE,TRUE
"CS",2020,-6,-0.024390243902439,0.106719136489695,TRUE,TRUE
"CS",2020,-5,0.048780487804878,0.0723220594392976,TRUE,TRUE
"CS",2020,-4,-0.024390243902439,0.0440988167312791,TRUE,TRUE
"CS",2020,-3,0.048780487804878,0.0829057754548047,TRUE,TRUE
"CS",2020,-2,0.024390243902439,0.104073207485819,TRUE,TRUE
"CS",2020,-1,-0.0731707317073171,0.0978993731434395,TRUE,TRUE
"CS",2020,0,0.0975609756097561,0.0793778701163023,TRUE,FALSE
"SA",2001,0,6.58778587236952e-14,0.0667686156514503,TRUE,FALSE
"SA",2001,1,7.06865121991029e-14,0.086197912155801,TRUE,FALSE
"SA",2001,2,0.146341463414711,0.0616899567389293,TRUE,FALSE
"SA",2001,3,-0.14634146341458,0.0987406441667324,TRUE,FALSE
"SA",2001,4,0.0487804878049486,0.0766262061051155,TRUE,FALSE
"SA",2001,5,0.0731707317073869,0.070978565240667,TRUE,FALSE
"SA",2001,6,0.0487804878049492,0.0662235566098701,TRUE,FALSE
"SA",2001,7,-0.024390243902364,0.0816636388335059,TRUE,FALSE
"SA",2001,8,-0.0975609756096953,0.0844992645897733,TRUE,FALSE
"SA",2001,9,-0.0975609756096975,0.0645607751828014,TRUE,FALSE
"SA",2001,10,-0.0487804878048161,0.0766262061051193,TRUE,FALSE
"SA",2001,11,-0.121951219512139,0.103402448848319,TRUE,FALSE
"SA",2001,12,-0.0975609756096975,0.0844992645897643,TRUE,FALSE
"SA",2001,13,-0.121951219512138,0.0878637263256217,TRUE,FALSE
"SA",2001,14,-0.0731707317072536,0.0807711132498813,TRUE,FALSE
"SA",2001,15,-0.0975609756097212,0.0844992645897663,TRUE,FALSE
"SA",2001,16,-0.0487804878048194,0.085776403946922,TRUE,FALSE
"SA",2001,17,-0.024390243902381,0.0981885020332531,TRUE,FALSE
"SA",2001,18,-0.0975609756096971,0.0928770247597087,TRUE,FALSE
"SA",2001,19,6.71511457550622e-14,0.0861979121557954,TRUE,FALSE
"SA",2002,-2,0.400000000000007,0.253791012496895,TRUE,TRUE
"SA",2002,0,0.200000000000004,0.210774606380366,TRUE,FALSE
"SA",2002,1,0.346341463414643,0.209221264266427,TRUE,FALSE
"SA",2002,2,-0.146341463414646,0.0823266833198449,TRUE,FALSE
"SA",2002,3,0.248780487804882,0.21410152292978,TRUE,FALSE
"SA",2002,4,0.073170731707314,0.0807711132498243,TRUE,FALSE
"SA",2002,5,0.648780487804893,0.256560724683738,TRUE,FALSE
"SA",2002,6,0.375609756097575,0.255215132552352,TRUE,FALSE
"SA",2002,7,-0.0975609756097627,0.0844992645897125,TRUE,FALSE
"SA",2002,8,-0.0975609756097642,0.0751938142682025,TRUE,FALSE
"SA",2002,9,0.55121951219513,0.253648160723163,TRUE,FALSE
"SA",2002,10,-0.121951219512206,0.0878637263255605,TRUE,FALSE
"SA",2002,11,0.10243902439024,0.217043802894707,TRUE,FALSE
"SA",2002,12,0.0780487804877996,0.214946284105143,TRUE,FALSE
"SA",2002,13,0.326829268292687,0.254930944986703,TRUE,FALSE
"SA",2002,14,-0.0975609756097882,0.0645607751827677,TRUE,FALSE
"SA",2002,15,0.551219512195124,0.262288843594711,TRUE,FALSE
"SA",2002,16,0.575609756097568,0.260972787676636,TRUE,FALSE
"SA",2002,17,0.302439024390244,0.256136564536171,TRUE,FALSE
"SA",2002,18,0.400000000000007,0.25379101249689,TRUE,FALSE
"SA",2003,-3,3.84397375041701e-14,0.0861979121557742,TRUE,TRUE
"SA",2003,-2,3.72939526482874e-14,0.0667686156514315,TRUE,TRUE
"SA",2003,0,0.14634146341468,0.0616899567389053,TRUE,FALSE
"SA",2003,1,-0.146341463414606,0.0909048887489241,TRUE,FALSE
"SA",2003,2,0.0487804878049189,0.0662235566098457,TRUE,FALSE
"SA",2003,3,0.0731707317073572,0.0709785652406447,TRUE,FALSE
"SA",2003,4,0.0487804878049187,0.0766262061050982,TRUE,FALSE
"SA",2003,5,-0.0243902439023931,0.0816636388334854,TRUE,FALSE
"SA",2003,6,-0.0975609756097221,0.0645607751827918,TRUE,FALSE
"SA",2003,7,-0.0975609756097245,0.0844992645897477,TRUE,FALSE
"SA",2003,8,-0.048780487804845,0.0662235566098493,TRUE,FALSE
"SA",2003,9,-0.121951219512165,0.0878637263255947,TRUE,FALSE
"SA",2003,10,-0.0975609756097247,0.0928770247596848,TRUE,FALSE
"SA",2003,11,-0.121951219512164,0.078955800241762,TRUE,FALSE
"SA",2003,12,-0.0731707317072815,0.0807711132498625,TRUE,FALSE
"SA",2003,13,-0.0975609756097476,0.0751938142682313,TRUE,FALSE
"SA",2003,14,-0.0487804878048489,0.085776403946904,TRUE,FALSE
"SA",2003,15,-0.02439024390241,0.0816636388334745,TRUE,FALSE
"SA",2003,16,-0.0975609756097248,0.0751938142682339,TRUE,FALSE
"SA",2003,17,3.81777942592976e-14,0.0667686156514316,TRUE,FALSE
"SA",2004,-4,-0.146341463414674,0.0616899567388724,TRUE,TRUE
